product_id,days_since_last_restock,quantity,expiry_in_days
1,1,100,14
1,2,98,13
1,3,94,12
1,4,91,11
1,5,87,10
1,6,82,9
1,7,78,8
1,8,77,7
1,9,74,6
1,10,70,5
1,11,67,4
1,12,66,3
1,13,62,2
1,14,59,1
1,15,58,0
1,16,142,22
1,17,140,21
1,18,139,20
1,19,138,19
1,20,135,18
1,21,130,17
1,22,128,16
1,23,126,15
1,24,123,14
1,25,118,13
1,26,113,12
1,27,109,11
1,28,104,10
1,29,103,9
1,30,98,8
1,31,97,7
1,32,94,6
1,33,93,5
1,34,89,4
1,35,84,3
1,36,82,2
1,37,80,1
1,38,75,0
1,39,208,15
1,40,205,14
1,41,200,13
1,42,199,12
1,43,197,11
1,44,195,10
1,45,192,9
1,46,191,8
1,47,188,7
1,48,185,6
1,49,180,5
1,0,177,4
1,1,175,3
1,2,171,2
1,3,170,1
1,4,168,0
1,5,286,23
1,6,285,22
1,7,283,21
1,8,278,20
1,9,277,19
1,10,275,18
1,11,270,17
1,12,266,16
1,13,265,15
1,14,260,14
1,15,258,13
1,16,255,12
1,17,253,11
1,18,252,10
1,19,247,9
1,20,245,8
1,21,242,7
1,22,237,6
1,23,233,5
1,24,230,4
1,25,229,3
1,26,225,2
1,27,223,1
1,28,218,0
1,29,292,29
1,30,287,28
1,31,283,27
1,32,281,26
1,33,277,25
1,34,275,24
1,35,271,23
1,36,267,22
1,37,266,21
1,38,264,20
1,39,260,19
1,40,258,18
1,41,253,17
1,42,249,16
1,43,246,15
1,44,244,14
1,45,242,13
1,46,241,12
1,47,238,11
1,48,237,10
1,49,233,9
1,0,232,8
1,1,227,7
1,2,224,6
1,3,221,5
1,4,218,4
1,5,213,3
1,6,211,2
1,7,209,1
1,8,206,0
1,9,298,29
1,10,293,28
1,11,289,27
1,12,285,26
1,13,280,25
1,14,278,24
1,15,275,23
1,16,273,22
1,17,271,21
1,18,266,20
1,19,264,19
1,20,263,18
1,21,259,17
1,22,256,16
1,23,252,15
1,24,248,14
1,25,244,13
1,26,241,12
1,27,237,11
1,28,233,10
1,29,229,9
1,30,226,8
1,31,225,7
1,32,222,6
1,33,221,5
1,34,219,4
1,35,214,3
1,36,213,2
1,37,209,1
1,38,207,0
1,39,279,25
1,40,274,24
1,41,269,23
1,42,268,22
1,43,263,21
1,44,262,20
1,45,258,19
1,46,253,18
1,47,251,17
1,48,250,16
1,49,248,15
1,0,246,14
1,1,241,13
1,2,237,12
1,3,232,11
1,4,229,10
1,5,224,9
1,6,219,8
1,7,218,7
1,8,217,6
1,9,213,5
1,10,210,4
1,11,205,3
1,12,200,2
1,13,199,1
1,14,194,0
1,15,309,17
1,16,304,16
1,17,303,15
1,18,301,14
1,19,299,13
1,20,296,12
1,21,294,11
1,22,289,10
1,23,288,9
1,24,287,8
1,25,284,7
1,26,280,6
1,27,279,5
1,28,277,4
1,29,273,3
1,30,270,2
1,31,269,1
1,32,265,0
1,33,322,28
1,34,320,27
1,35,316,26
1,36,314,25
1,37,313,24
1,38,308,23
1,39,304,22
1,40,301,21
1,41,297,20
1,42,294,19
1,43,292,18
1,44,288,17
1,45,283,16
1,46,278,15
1,47,275,14
1,48,274,13
1,49,271,12
1,0,269,11
1,1,264,10
1,2,263,9
1,3,261,8
1,4,257,7
1,5,253,6
1,6,250,5
1,7,248,4
1,8,245,3
1,9,242,2
1,10,239,1
1,11,236,0
1,12,384,15
1,13,379,14
1,14,374,13
1,15,373,12
1,16,370,11
1,17,367,10
1,18,363,9
1,19,358,8
1,20,354,7
1,21,351,6
1,22,347,5
1,23,342,4
1,24,337,3
1,25,332,2
1,26,331,1
1,27,329,0
1,28,422,16
1,29,420,15
1,30,418,14
1,31,414,13
1,32,412,12
1,33,407,11
1,34,406,10
1,35,403,9
1,36,399,8
1,37,396,7
1,38,393,6
1,39,389,5
1,40,387,4
1,41,386,3
1,42,382,2
1,43,378,1
1,44,376,0
1,45,460,23
1,46,455,22
1,47,450,21
1,48,448,20
1,49,447,19
1,0,443,18
1,1,440,17
1,2,439,16
1,3,436,15
1,4,431,14
1,5,430,13
1,6,429,12
1,7,428,11
1,8,424,10
1,9,419,9
1,10,417,8
1,11,414,7
1,12,411,6
1,13,410,5
1,14,407,4
1,15,403,3
1,16,402,2
1,17,399,1
1,18,396,0
1,19,505,20
1,20,501,19
1,21,498,18
1,22,495,17
1,23,494,16
1,24,491,15
1,25,487,14
1,26,482,13
1,27,479,12
1,28,476,11
1,29,475,10
1,30,471,9
1,31,469,8
1,32,468,7
1,33,466,6
1,34,464,5
1,35,459,4
1,36,455,3
1,37,454,2
1,38,449,1
1,39,444,0
1,40,499,27
1,41,495,26
1,42,492,25
1,43,487,24
1,44,484,23
1,45,483,22
1,46,481,21
1,47,479,20
1,48,477,19
1,49,476,18
1,0,471,17
1,1,469,16
1,2,466,15
1,3,464,14
1,4,461,13
1,5,458,12
1,6,455,11
1,7,452,10
1,8,448,9
1,9,447,8
1,10,443,7
1,11,440,6
1,12,438,5
1,13,437,4
1,14,433,3
1,15,428,2
1,16,426,1
1,17,425,0
1,18,511,24
1,19,506,23
1,20,502,22
1,21,501,21
1,22,499,20
1,23,497,19
1,24,492,18
1,25,490,17
1,26,489,16
1,27,484,15
1,28,479,14
1,29,478,13
1,30,474,12
1,31,470,11
1,32,469,10
1,33,468,9
1,34,466,8
1,35,461,7
1,36,457,6
1,37,456,5
1,38,451,4
1,39,448,3
1,40,447,2
1,41,445,1
1,42,442,0
1,43,560,27
1,44,558,26
1,45,556,25
1,46,551,24
1,47,550,23
1,48,546,22
1,49,544,21
1,0,541,20
1,1,540,19
1,2,538,18
1,3,537,17
1,4,536,16
1,5,532,15
1,6,529,14
1,7,524,13
1,8,521,12
1,9,519,11
1,10,517,10
1,11,515,9
1,12,511,8
1,13,510,7
1,14,509,6
1,15,508,5
1,16,504,4
1,17,501,3
1,18,497,2
1,19,495,1
1,20,493,0
1,21,565,17
1,22,564,16
1,23,562,15
1,24,558,14
1,25,555,13
1,26,553,12
1,27,550,11
1,28,545,10
1,29,542,9
1,30,541,8
1,31,537,7
1,32,534,6
1,33,531,5
1,34,527,4
1,35,525,3
1,36,522,2
1,37,521,1
1,38,519,0
1,39,573,25
1,40,571,24
1,41,569,23
1,42,565,22
1,43,564,21
1,44,562,20
1,45,558,19
1,46,556,18
1,47,555,17
1,48,550,16
1,49,546,15
1,0,545,14
1,1,542,13
1,2,538,12
1,3,536,11
1,4,534,10
1,5,531,9
1,6,530,8
1,7,528,7
1,8,523,6
1,9,518,5
1,10,514,4
1,11,512,3
1,12,511,2
1,13,506,1
1,14,504,0
1,15,561,18
1,16,558,17
1,17,556,16
1,18,553,15
1,19,550,14
1,20,546,13
1,21,542,12
1,22,538,11
1,23,537,10
1,24,534,9
1,25,529,8
1,26,526,7
1,27,523,6
1,28,522,5
1,29,518,4
1,30,513,3
1,31,509,2
1,32,505,1
1,33,502,0
1,34,600,24
1,35,599,23
1,36,598,22
1,37,597,21
1,38,595,20
1,39,592,19
1,40,590,18
1,41,588,17
1,42,583,16
1,43,581,15
1,44,580,14
1,45,576,13
1,46,575,12
1,47,572,11
1,48,567,10
1,49,566,9
1,0,563,8
1,1,558,7
1,2,553,6
1,3,549,5
1,4,544,4
1,5,539,3
1,6,536,2
1,7,535,1
1,8,533,0
1,9,660,16
1,10,656,15
1,11,652,14
1,12,650,13
1,13,645,12
1,14,643,11
1,15,639,10
1,16,637,9
1,17,634,8
1,18,629,7
1,19,624,6
1,20,619,5
1,21,615,4
1,22,614,3
1,23,610,2
1,24,606,1
1,25,605,0
1,26,754,26
1,27,750,25
1,28,745,24
1,29,743,23
1,30,741,22
1,31,738,21
1,32,737,20
1,33,736,19
1,34,731,18
1,35,729,17
1,36,725,16
1,37,724,15
1,38,722,14
1,39,721,13
1,40,719,12
1,41,715,11
1,42,713,10
1,43,711,9
1,44,709,8
1,45,708,7
1,46,704,6
1,47,700,5
1,48,697,4
1,49,693,3
1,0,688,2
1,1,684,1
1,2,681,0
1,3,816,17
1,4,815,16
1,5,810,15
1,6,805,14
1,7,801,13
1,8,799,12
1,9,798,11
1,10,794,10
1,11,793,9
1,12,792,8
1,13,787,7
1,14,786,6
1,15,784,5
1,16,779,4
1,17,776,3
1,18,773,2
1,19,771,1
1,20,768,0
1,21,868,19
1,22,865,18
1,23,860,17
1,24,857,16
1,25,853,15
1,26,851,14
1,27,846,13
1,28,845,12
1,29,842,11
1,30,841,10
1,31,837,9
1,32,836,8
1,33,835,7
1,34,834,6
1,35,831,5
1,36,826,4
1,37,821,3
1,38,818,2
1,39,817,1
1,40,812,0
1,41,944,22
1,42,941,21
1,43,938,20
1,44,934,19
1,45,929,18
1,46,926,17
1,47,925,16
1,48,922,15
1,49,920,14
1,0,916,13
1,1,911,12
1,2,906,11
1,3,904,10
1,4,900,9
1,5,896,8
1,6,893,7
1,7,892,6
1,8,890,5
1,9,889,4
1,10,886,3
1,11,883,2
1,12,880,1
1,13,875,0
1,14,958,26
1,15,954,25
1,16,952,24
1,17,951,23
1,18,947,22
1,19,943,21
1,20,938,20
1,21,936,19
1,22,933,18
1,23,930,17
1,24,925,16
1,25,923,15
1,26,921,14
1,27,917,13
1,28,913,12
1,29,908,11
1,30,905,10
1,31,901,9
1,32,898,8
1,33,893,7
1,34,891,6
1,35,888,5
1,36,884,4
1,37,879,3
1,38,877,2
1,39,873,1
1,40,868,0
1,41,979,21
1,42,976,20
1,43,974,19
1,44,971,18
1,45,970,17
1,46,967,16
1,47,963,15
1,48,958,14
1,49,956,13
1,0,955,12
1,1,952,11
1,2,948,10
1,3,946,9
1,4,943,8
1,5,941,7
1,6,940,6
1,7,938,5
1,8,933,4
1,9,931,3
1,10,927,2
1,11,923,1
1,12,922,0
1,13,992,16
1,14,987,15
1,15,985,14
1,16,983,13
1,17,981,12
1,18,978,11
1,19,974,10
1,20,973,9
1,21,970,8
1,22,967,7
