product_id,days_since_last_restock,quantity,expiry_in_days
1,1,100,27
1,2,96,26
1,3,93,25
1,4,88,24
1,5,82,23
1,6,80,22
1,7,79,21
1,8,78,20
1,9,74,19
1,10,72,18
1,11,67,17
1,12,65,16
1,13,60,15
1,14,54,14
1,15,48,13
1,16,45,12
1,17,41,11
1,18,37,10
1,19,31,9
1,20,30,8
1,21,27,7
1,22,20,6
1,23,11,5
1,24,4,4
1,25,1,3
1,26,1,2
1,27,1,1
1,28,1,0
1,29,100,22
1,30,97,21
1,31,92,20
1,32,88,19
1,33,86,18
1,34,79,17
1,35,72,16
1,36,68,15
1,37,65,14
1,38,61,13
1,39,60,12
1,40,57,11
1,41,49,10
1,42,43,9
1,43,38,8
1,44,35,7
1,45,32,6
1,46,23,5
1,47,20,4
1,48,11,3
1,49,4,2
1,0,1,1
1,1,1,0
1,2,100,30
1,3,98,29
1,4,96,28
1,5,91,27
1,6,89,26
1,7,85,25
1,8,82,24
1,9,76,23
1,10,74,22
1,11,73,21
1,12,68,20
1,13,66,19
1,14,64,18
1,15,59,17
1,16,52,16
1,17,50,15
1,18,49,14
1,19,48,13
1,20,42,12
1,21,38,11
1,22,37,10
1,23,34,9
1,24,29,8
1,25,28,7
1,26,27,6
1,27,20,5
1,28,17,4
1,29,16,3
1,30,11,2
1,31,2,1
1,32,1,0
1,33,100,23
1,34,96,22
1,35,90,21
1,36,85,20
1,37,80,19
1,38,79,18
1,39,77,17
1,40,70,16
1,41,69,15
1,42,63,14
1,43,56,13
1,44,53,12
1,45,49,11
1,46,41,10
1,47,36,9
1,48,30,8
1,49,22,7
1,0,14,6
1,1,11,5
1,2,2,4
1,3,1,3
1,4,1,2
1,5,1,1
1,6,1,0
1,7,100,25
1,8,96,24
1,9,94,23
1,10,93,22
1,11,88,21
1,12,87,20
1,13,82,19
1,14,78,18
1,15,71,17
1,16,70,16
1,17,66,15
1,18,63,14
1,19,56,13
1,20,55,12
1,21,54,11
1,22,53,10
1,23,48,9
1,24,40,8
1,25,39,7
1,26,36,6
1,27,29,5
1,28,22,4
1,29,17,3
1,30,14,2
1,31,9,1
1,32,8,0
1,33,100,18
